Headline,FinBERT_Sentiment,Confidence,Actual_Sentiment,Correct
Financial sector leads market selloff lower,negative,84.8,negative,True
Consumer debt reaches dangerous levels economists warn,negative,89.2,negative,True
Banks report highest default rates since recession,negative,72.1,negative,True
Federal Reserve chair signals tighter policy ahead,negative,68.8,negative,True
Credit scores deteriorating across lower income borrowers,negative,96.7,negative,True
Morgan Stanley reports sharp drop in wealth management,negative,97.2,negative,True
Bank earnings season off to terrible start,negative,95.8,negative,True
Negative economic data drives financial stocks down,negative,96.5,negative,True
JPMorgan cuts full year earnings guidance sharply,negative,94.0,negative,True
Consumer loans contract at fastest pace in years,positive,83.9,negative,False
Banks hurt by flattening yield curve analysts say,negative,94.6,negative,True
Weak housing market hurts mortgage lending business,negative,96.6,negative,True
Financial stocks hit new 52 week lows,negative,94.5,negative,True
Bank of America reports deteriorating asset quality,negative,97.0,negative,True
Economy loses more jobs than expected in report,negative,96.9,negative,True
Higher charge offs hurt bank profitability sharply,negative,96.9,negative,True
Goldman Sachs investment banking revenue collapses,neutral,93.3,negative,False
Federal Reserve balance sheet reduction accelerates,negative,70.9,negative,True
Consumer borrowing falls on weakening confidence,negative,97.0,negative,True
Wells Fargo loan portfolio shows serious deterioration,negative,94.5,negative,True
Banks fail annual stress tests raising concerns,negative,91.5,negative,True
Falling wages hurt consumer loan repayment ability,negative,96.6,negative,True
JPMorgan net interest margin compresses sharply,negative,89.6,negative,True
Negative jobs data increases recession probability,negative,96.3,negative,True
Bank stocks underperform broader market this quarter,negative,95.8,negative,True
Morgan Stanley wealth management assets drop sharply,negative,96.8,negative,True
Consumer credit quality deteriorating analysts warn,negative,76.4,negative,True
Federal Reserve minutes signal aggressive rate hikes,positive,72.9,negative,False
OneMain Financial sees rising cost of funds,negative,88.5,negative,True
